Date,Period,number1,number2,number3,sale_amount,reward ratio
2019-05-27,2019140,2,7,6,"48,426,226", 89.26%
2019-05-26,2019139,8,4,9,"47,600,472", 29.39%
2019-05-25,2019138,3,3,1,"48,452,642", 63.42%
2019-05-24,2019137,3,4,7,"50,622,682", 76.94%
2019-05-23,2019136,6,7,0,"48,602,548", 67.78%
2019-05-22,2019135,7,8,9,"48,913,018", 38.34%
2019-05-21,2019134,3,9,4,"49,918,590", 47.70%
2019-05-20,2019133,2,1,9,"48,158,756", 67.87%
2019-05-19,2019132,7,8,7,"49,768,656", 47.33%
2019-05-18,2019131,0,3,1,"49,835,388", 35.74%
2019-05-17,2019130,2,9,8,"51,354,252", 59.74%
2019-05-16,2019129,5,0,4,"51,041,100", 37.25%
2019-05-15,2019128,9,8,0,"50,865,610", 36.94%
2019-05-14,2019127,7,5,8,"50,236,882", 102.50%
2019-05-13,2019126,4,7,0,"48,571,358", 39.26%
2019-05-12,2019125,0,8,1,"47,011,660", 41.20%
2019-05-11,2019124,2,1,1,"49,462,498", 49.70%
2019-05-10,2019123,1,5,7,"50,552,190", 86.70%
2019-05-09,2019122,8,6,5,"49,221,224", 50.71%
2019-05-08,2019121,6,0,8,"47,649,220", 61.74%
2019-05-07,2019120,9,0,0,"50,467,130", 47.37%
2019-05-06,2019119,2,4,9,"50,407,680", 31.10%
2019-05-05,2019118,4,1,8,"49,334,966", 50.03%
2019-05-04,2019117,2,9,6,"48,288,834", 36.49%
2019-05-03,2019116,0,4,7,"46,431,052", 83.97%
2019-05-02,2019115,4,6,6,"45,822,826", 36.69%
2019-05-01,2019114,5,5,8,"45,414,888", 48.38%
2019-04-30,2019113,2,3,8,"47,839,856", 61.53%
2019-04-29,2019112,9,2,2,"49,786,448", 42.41%
2019-04-28,2019111,7,1,6,"49,809,380", 56.08%
2019-04-27,2019110,6,1,2,"48,467,544", 45.52%
2019-04-26,2019109,1,3,6,"49,528,884", 82.32%
2019-04-25,2019108,5,1,5,"47,898,496", 43.20%
2019-04-24,2019107,1,7,7,"48,035,592", 54.08%
2019-04-23,2019106,0,4,0,"51,494,660", 22.04%
2019-04-22,2019105,3,8,2,"51,302,288", 60.43%
2019-04-21,2019104,5,9,3,"48,478,856", 30.77%
2019-04-20,2019103,7,5,0,"46,613,472", 31.05%
2019-04-19,2019102,5,5,9,"52,823,500", 16.59%
2019-04-18,2019101,5,5,9,"53,640,408", 41.01%
2019-04-17,2019100,4,8,7,"52,068,014", 22.45%
2019-04-16,2019099,7,3,8,"51,991,218", 53.42%
2019-04-15,2019098,0,8,7,"51,016,540", 42.18%
2019-04-14,2019097,2,4,3,"50,355,472", 40.81%
2019-04-13,2019096,0,6,6,"52,929,558", 78.77%
2019-04-12,2019095,9,3,5,"54,300,448", 38.75%
2019-04-11,2019094,8,9,1,"52,643,036", 49.56%
2019-04-10,2019093,2,5,8,"51,282,736", 107.62%
2019-04-09,2019092,6,3,0,"51,076,428", 36.46%
2019-04-08,2019091,5,2,6,"50,776,294", 64.07%
2019-04-07,2019090,7,8,9,"49,534,516", 65.42%
2019-04-06,2019089,4,5,0,"48,060,110", 64.81%
2019-04-05,2019088,9,3,6,"46,721,624", 61.88%
